#"Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
795.9999999950008,4583.2513427734375,301.7329741654944
797.9999999949536,4602.1363525390625,301.015353655233
799.9999999949063,4695.018005371094,262.5959440292784
801.999999994859,4567.212341308594,288.904310488046
803.9999999948117,4668.958435058594,317.50748795115106
805.9999999947644,4606.5386962890625,293.51842117863436
807.9999999947171,4587.414489746094,299.878300634608
809.9999999946698,4630.908447265625,296.31172115028727
811.9999999946225,4589.2816162109375,301.0281000169156
813.9999999945752,4557.0972900390625,301.39198302258427
815.9999999945279,4716.5584716796875,303.8760414022506
817.9999999944806,4648.136901855469,304.8479532854838
819.9999999944333,4592.537048339844,294.89635157036327
821.999999994386,4626.711853027344,303.2965437859877
823.9999999943387,4583.255676269531,299.26697433276394
825.9999999942914,4602.201110839844,299.7756302743395
827.9999999942441,4617.4410400390625,279.08130155967586
829.9999999941969,4606.67236328125,299.98684986813925
831.9999999941496,4522.176818847656,297.63897666407246
833.9999999941023,4623.889587402344,309.73841482455015
835.999999994055,4628.362854003906,283.4286811121062
837.9999999940077,4539.837219238281,307.5553247097759
839.9999999939604,4661.7279052734375,259.337592706901
841.9999999939131,4576.193786621094,305.048690734544
843.9999999938658,4620.156555175781,301.0608403310851
845.9999999938185,4605.973693847656,309.77921862754965
847.9999999937712,4650.435485839844,302.76336025628007
849.9999999937239,4618.49365234375,298.74718031125866
851.9999999936766,4647.676330566406,286.9688338298521
853.9999999936293,4531.3079833984375,292.05575930318327
855.999999993582,4524.9014892578125,292.3391448875721
857.9999999935347,4552.429260253906,289.3069132255743
859.9999999934874,4634.410461425781,296.940613036526
861.9999999934402,4687.555114746094,287.8950569079675
863.9999999933929,4569.35400390625,294.9330437173156
865.9999999933456,4605.94970703125,290.28360511860024
867.9999999932983,4562.581359863281,307.556087133077
869.999999993251,4524.755554199219,274.3007658089916
871.9999999932037,4663.324645996094,318.7675599879656
873.9999999931564,4605.4168701171875,286.955691135846
875.9999999931091,4602.037170410156,292.01791418516126
877.9999999930618,4562.538757324219,328.51972769651337
879.9999999930145,4585.368225097656,312.66725600889646
881.9999999929672,4629.8695068359375,292.54780529647496
883.9999999929199,4573.977844238281,253.47037104594693
885.9999999928726,4561.5191650390625,279.5784014818733
887.9999999928253,4690.42138671875,306.5680213223307
889.999999992778,4555.705078125,311.1923522890605
891.9999999927307,4549.588439941406,291.4255641252886
893.9999999926835,4658.5528564453125,293.6824286824976
895.9999999926362,4612.252380371094,301.2540960381715
897.9999999925889,4669.8646240234375,315.65717908793266
899.9999999925416,4643.5361328125,297.9895011148801
901.9999999924943,4559.004150390625,325.3356812934734
903.999999992447,4612.687683105469,287.67774480903677
905.9999999923997,4642.679870605469,292.0846240513556
907.9999999923524,4583.2047119140625,299.1960796403748
909.9999999923051,4643.327880859375,293.9565631598304
911.9999999922578,4617.363586425781,282.45772814919803
913.9999999922105,4693.4384765625,304.7236934117865
915.9999999921632,4644.323486328125,329.9692075361359
917.9999999921159,4695.570861816406,283.9266084700466
919.9999999920686,4543.515869140625,276.8524727139788
921.9999999920213,4535.211486816406,294.4239072587202
923.999999991974,4659.131103515625,322.36256084590747
925.9999999919268,4639.746276855469,319.8199281872024
927.9999999918795,4621.0694580078125,279.75751353354525
929.9999999918322,4658.257629394531,298.72766470607064
931.9999999917849,4666.0333251953125,273.79907478347485
933.9999999917376,4664.688903808594,296.8048958393776
935.9999999916903,4639.7479248046875,282.0324139279252
937.999999991643,4585.858703613281,303.2552417766091
939.9999999915957,4667.592468261719,291.8885014525313
941.9999999915484,4629.991455078125,275.5072241552999
943.9999999915011,4552.939758300781,309.46983644671735
945.9999999914538,4642.6248779296875,301.6605843676921
947.9999999914065,4545.720458984375,289.6140881264127
949.9999999913592,4672.0655517578125,286.83996651325475
951.9999999913119,4543.925109863281,296.2799865004894
953.9999999912646,4541.696533203125,303.44571938190273
955.9999999912174,4619.946044921875,273.46096267705013
957.9999999911701,4713.806945800781,315.76104472438334
959.9999999911228,4581.575744628906,308.68216005721337
961.9999999910755,4581.532897949219,305.777643111747
963.9999999910282,4547.539367675781,297.7734877951074
965.9999999909809,4564.6190185546875,293.64800140648634
967.9999999909336,4636.344665527344,292.0037020558212
969.9999999908863,4547.853271484375,291.98248784661797
971.999999990839,4639.1085205078125,294.713484687201
973.9999999907917,4589.15576171875,275.76253230683267
975.9999999907444,4729.200256347656,303.9316946063877
977.9999999906971,4635.7869873046875,280.2112370931298
979.9999999906498,4581.280456542969,293.7973918006205
981.9999999906025,4517.0211181640625,303.7590819260733
983.9999999905552,4587.981140136719,279.14795133864766
985.999999990508,4603.468688964844,303.96007588076947
987.9999999904607,4610.730163574219,323.8030066682794
989.9999999904134,4605.916076660156,300.0619913289653
991.9999999903661,4543.1832275390625,275.4882451900651
993.9999999903188,4613.130676269531,294.3258920372811
995.9999999902715,4556.6209716796875,288.0600890600007
997.9999999902242,4562.764465332031,282.6132591142112
999.9999999901769,4548.3538818359375,329.9619117717197
